ID,city,postcode,state
205,KATHERINE EAST,850,NT
206,KATHERINE SOUTH,850,NT
207,LANSDOWNE,850,NT
208,KATHERINE,851,NT
209,ARNOLD,852,NT
210,BAINES,852,NT
211,BARUNGA,852,NT
212,BESWICK,852,NT
213,BESWICK CREEK,852,NT
214,BINJARI,852,NT
215,BIRDUM,852,NT
216,BRADSHAW,852,NT
217,BUCHANAN,852,NT
218,BULMAN WEEMOL,852,NT
219,CRESWELL,852,NT
220,DAGURAGU,852,NT
221,DALY WATERS,852,NT
222,DELAMERE,852,NT
223,DUNMARRA,852,NT
224,EDITH,852,NT
225,ELSEY,852,NT
226,ELSEY STATION,852,NT
227,FLORINA,852,NT
228,FLYING FOX,852,NT
229,GREGORY,852,NT
230,GULUNG MARDRULK,852,NT
231,GURINDJI,852,NT
232,JILKMINGGAN,852,NT
233,KALKARINDJI,852,NT
234,KATHERINE,852,NT
235,LAJAMANU,852,NT
236,LARRIMAH,852,NT
237,LIMMEN,852,NT
238,MANBULLOO,852,NT
239,MARANBOY,852,NT
240,MATARANKA,852,NT
241,MCARTHUR,852,NT
242,MINIYERI,852,NT
243,NGUKURR,852,NT
244,NITMILUK,852,NT
245,PELLEW ISLANDS,852,NT
246,PIGEON HOLE,852,NT
247,ROBINSON RIVER,852,NT
248,STURT PLATEAU,852,NT
249,TANAMI EAST,852,NT
250,TIMBER CREEK,852,NT
251,TOP SPRINGS,852,NT
252,URALLA,852,NT
253,VENN,852,NT
254,VICTORIA RIVER,852,NT
255,VICTORIA RIVER DOWNS,852,NT
256,WARUMUNGU,852,NT
257,WAVE HILL,852,NT
258,WILTON,852,NT
259,YARRALIN,852,NT
260,TINDAL,853,NT
261,BORROLOOLA,854,NT
262,KING ASH BAY,854,NT
263,TENNANT CREEK,860,NT
264,BRUNCHILLY,861,NT
265,TENNANT CREEK,861,NT
266,AVON DOWNS,862,NT
267,CALVERT,862,NT
268,CRESSWELL DOWNS,862,NT
269,ELLIOTT,862,NT
270,HELEN SPRINGS,862,NT
271,MUCKATY STATION,862,NT
272,NEWCASTLE WATERS,862,NT
273,NICHOLSON,862,NT
274,PAMAYU,862,NT
275,PHILLIP CREEK STATION,862,NT
276,RENNER SPRINGS,862,NT
277,TABLELANDS,862,NT
278,TENNANT CREEK,862,NT
279,THREE WAYS,862,NT
280,WARREGO,862,NT
281,WOLLOGORANG STATION,862,NT
282,WYCLIFFE WELL,862,NT
283,ALICE SPRINGS,870,NT
284,ARALUEN,870,NT
285,ARUMBERA,870,NT
286,BRAITLING,870,NT
287,CICCONE,870,NT
288,CONNELLAN,870,NT
289,DESERT SPRINGS,870,NT
290,EAST SIDE,870,NT
291,FLYNN,870,NT
292,GILLEN,870,NT
293,ILPARPA,870,NT
294,IRLPME,870,NT
295,LARAPINTA,870,NT
296,MOUNT JOHNS,870,NT
297,ROSS,870,NT
298,SADADEEN,870,NT
299,STUART,870,NT
300,THE GAP,870,NT
301,UNDOOLYA,870,NT
302,WHITE GUMS,870,NT
303,AHERRENGE,872,NT
304,ALI CURUNG,872,NT
305,AMATA,872,SA
306,AMOONGUNA,872,NT
307,AMPILATWATJA,872,NT
308,ANATYE,872,NT
309,ANMATJERE,872,NT
310,ANTEWENEGERRDE,872,NT
311,AREYONGA,872,NT
312,ATITJERE,872,NT
313,AYERS ROCK,872,NT
